date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:19	156495/156495	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2016:15:17%20GMT	https://www.craftginclub.co.uk/	C:/Users/dell/Desktop/barath/food3/www.craftginclub.co.uk/index.html	(from )
21:45:20	332/332	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2016:15:17%20GMT	https://www.craftginclub.co.uk/robots.txt		(from )
21:45:22	961/961	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c7d250e475cbb945a7ca281f5ca5e405--gzip%22	https://www.craftginclub.co.uk/assets/scripts/marketing-optin.js?v=3	C:/Users/dell/Desktop/barath/food3/www.craftginclub.co.uk/assets/scripts/marketing-optin30f4.js	(from https://www.craftginclub.co.uk/)
21:45:22	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Thu,%2027%20Oct%202022%2016:15:21%20GMT	http://static1.squarespace.com/static/5402e23ce4b0a7034afad3a2/t/635123a2df6e6d64a7e8de66/1551884869488/craft_gin_club_master_logo_rgb_sized.png?format=1500w	C:/Users/dell/Desktop/barath/food3/static1.squarespace.com/static/5402e23ce4b0a7034afad3a2/t/635123a2df6e6d64a7e8de66/1551884869488/craft_gin_club_master_logo_rgb_sized.126f7.delayed	(from https://www.craftginclub.co.uk/)
21:45:25	19950/19950	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2027%20Oct%202022%2016:15:23%20GMT	http://use.typekit.net/ik/qVjGLGa8aKJqtra6IyiNyQFENzu93Tt-fIjY-enK7KCfe0bffFHN4UJLFRbh52jhWD9Xw248wRFRZQsKweIaw2wXjAZyZ2Fywy7YMPG0-cN0OAyudeu8O1FUiABkZWF3jAF8OcFzdPURScBcieiTdcFCiAJ0jhv0iACC-cN0OAyudeu8O1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCiaiaOcFkjAZXZh80jhUujKoRdkou-kUaiaS0-cN0OAyudeu8O1FUiABkZWF3jAF8OcFzdPJwSY4zpe8ljPu0daZyJy4yZeNKZPu1jW4ydAN0Zfu3ScvKgAmcZ14yH6qJn3IbMg6IJMJ7f6K3UMIbMg6BJMJ7fbKlMsMMeMj6MKG4fJCgIMMjgkMfH6qJCMIbMg65JMJ7fbK0MsMMegM6MKG4fJ3gIMMjIPMfH6qJvDbbMs6IJMJ7fbKxQgMfeM96MKG4fOlwIMJjgkMfH6qJ3I3bMy6VJMJ7fbKvQgMfegI6MTMgn0KDu69.js	C:/Users/dell/Desktop/barath/food3/use.typekit.net/ik/qVjGLGa8aKJqtra6IyiNyQFENzu93Tt-fIjY-enK7KCfe0bffFHN4UJLFRbh52jhWD9Xw248wRFRZQsKweIaw2wXjAZyZ2Fywy7YMPG0-cN0OAyudeu8O1FUiABkZWF3jAF8OcFzdPURScBcieiTdcFCiAJ0jhv0iACC-cN0OAyudeu8O1FUiA	(from https://www.craftginclub.co.uk/)
21:45:25	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/dell/Desktop/barath/food3/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.craftginclub.co.uk/)
21:45:27	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/dell/Desktop/barath/food3/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.craftginclub.co.uk/)
21:45:29	45223/45223	---M-Z	200	added ('OK')	text/javascript	etag:%22aab75efdbb0c1f9f3787012ff18aae71%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-3a49d64b287a02102ec6c-min.en-US.js	C:/Users/dell/Desktop/barath/food3/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-3a49d64b287a02102ec6c-min.en-US.js	(from https://www.craftginclub.co.uk/)
21:45:31	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%226831fbfbcaefb323e1bca77209107e61%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	C:/Users/dell/Desktop/barath/food3/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	(from https://www.craftginclub.co.uk/)
21:45:43	245971/245971	---M-Z	200	added ('OK')	text/javascript	etag:%22ff401016dabf83b96a4ad64dfbd64596%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	C:/Users/dell/Desktop/barath/food3/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	(from https://www.craftginclub.co.uk/)
